timestamp,latitude,longitude,pm2_5_ug_m3,pm10_ug_m3,co2_ppm,temperature_c,humidity_percent,wind_speed_m_s
2026-08-02 10:00:00.000,18.520348,73.870902,48.0,80.9,486.1,27.21,67.9,3.15
2026-08-02 10:00:00.050,18.520239,73.870625,47.4,81.2,481.9,27.12,68.1,2.95
2026-08-02 10:00:00.100,18.52045,73.870662,47.1,74.1,476.5,27.0,67.9,3.14
2026-08-02 10:00:00.150,18.520418,73.870582,46.8,73.5,485.6,27.06,68.4,3.01
2026-08-02 10:00:00.200,18.5206,73.870745,48.1,82.9,485.3,27.21,67.8,3.06
2026-08-02 10:00:00.250,18.520468,73.87064,48.0,77.6,483.2,27.13,68.5,3.16
2026-08-02 10:00:00.300,18.520339,73.870752,53.3,87.1,485.4,27.16,67.8,3.1
2026-08-02 10:00:00.350,18.520253,73.870756,49.6,84.9,481.5,27.1,68.6,2.92
2026-08-02 10:00:00.400,18.520525,73.870884,48.7,80.4,484.1,27.2,68.4,3.33
2026-08-02 10:00:00.450,18.520419,73.870736,47.8,81.3,487.3,27.12,67.3,3.0
2026-08-02 10:00:00.500,18.520455,73.870813,48.7,79.6,494.1,27.21,68.4,3.21
2026-08-02 10:00:00.550,18.520397,73.870705,49.7,82.6,483.9,27.4,68.8,3.26
2026-08-02 10:00:00.600,18.520237,73.870673,46.9,72.7,493.2,27.14,67.5,3.1
2026-08-02 10:00:00.650,18.520592,73.870644,51.5,84.6,484.5,27.32,67.5,3.02
2026-08-02 10:00:00.700,18.520547,73.870704,45.3,70.5,476.9,27.22,68.3,3.0
2026-08-02 10:00:00.750,18.520522,73.870785,46.8,76.2,480.0,27.24,68.0,3.0
2026-08-02 10:00:00.800,18.520582,73.870534,48.9,79.5,484.7,27.18,67.5,2.95
2026-08-02 10:00:00.850,18.520359,73.870642,48.4,76.6,478.5,27.26,67.7,3.01
2026-08-02 10:00:00.900,18.520751,73.870908,49.7,82.0,489.2,27.2,67.6,2.97
2026-08-02 10:00:00.950,18.520483,73.870724,49.8,82.6,494.8,27.28,68.4,2.94
2026-08-02 10:00:01.000,18.520571,73.871038,47.3,78.9,483.1,27.28,68.1,2.95
2026-08-02 10:00:01.050,18.520624,73.870542,47.9,78.8,481.7,27.24,67.6,3.1
2026-08-02 10:00:01.100,18.520214,73.870825,47.1,75.2,487.5,27.01,67.7,3.18
2026-08-02 10:00:01.150,18.520748,73.870919,47.2,78.2,490.4,27.19,67.8,3.29
2026-08-02 10:00:01.200,18.52056,73.870739,47.0,77.5,479.1,27.36,68.9,3.2
2026-08-02 10:00:01.250,18.520356,73.870919,46.5,76.5,485.7,27.3,68.7,3.28
2026-08-02 10:00:01.300,18.520523,73.870578,46.3,75.1,488.0,27.24,68.9,3.17
2026-08-02 10:00:01.350,18.5209,73.870761,48.1,81.4,482.7,27.31,68.5,3.35
2026-08-02 10:00:01.400,18.52055,73.870745,47.6,77.3,480.6,27.1,68.0,3.11
2026-08-02 10:00:01.450,18.520414,73.870555,48.2,78.7,490.2,27.13,68.8,3.15
2026-08-02 10:00:01.500,18.520572,73.870729,46.5,80.1,486.7,27.13,67.9,3.22
2026-08-02 10:00:01.550,18.520644,73.870743,49.4,82.6,484.0,27.04,68.2,3.1
2026-08-02 10:00:01.600,18.52053,73.870743,45.2,73.5,486.7,27.29,69.0,3.0
2026-08-02 10:00:01.650,18.520538,73.870953,45.8,74.3,492.4,27.24,68.3,3.11
2026-08-02 10:00:01.700,18.520759,73.870666,48.5,79.5,494.1,27.22,68.0,2.94
2026-08-02 10:00:01.750,18.520724,73.870925,49.5,81.7,481.9,27.05,68.6,2.99
2026-08-02 10:00:01.800,18.520629,73.87093,46.6,75.8,495.7,27.2,67.6,3.12
2026-08-02 10:00:01.850,18.520628,73.870908,49.1,83.7,491.1,27.12,67.9,3.07
2026-08-02 10:00:01.900,18.52066,73.870875,46.3,74.0,490.1,27.1,67.6,3.04
2026-08-02 10:00:01.950,18.520597,73.870768,45.4,74.0,485.5,27.17,68.3,3.17
2026-08-02 10:00:02.000,18.520654,73.870877,50.5,82.0,486.6,27.29,68.8,3.06
2026-08-02 10:00:02.050,18.520678,73.870768,45.9,74.6,484.2,27.17,68.0,3.17
2026-08-02 10:00:02.100,18.520845,73.870704,47.9,79.2,483.0,27.23,68.6,3.06
2026-08-02 10:00:02.150,18.520535,73.870696,48.4,80.1,492.8,27.24,68.0,2.95
2026-08-02 10:00:02.200,18.520794,73.870704,45.6,72.8,492.2,27.19,68.7,3.25
2026-08-02 10:00:02.250,18.520888,73.870862,47.3,80.8,488.4,27.23,68.4,3.46
2026-08-02 10:00:02.300,18.520591,73.871046,49.8,81.9,476.8,27.24,68.1,3.29
2026-08-02 10:00:02.350,18.520722,73.870666,47.6,81.4,484.8,27.28,67.6,3.16
2026-08-02 10:00:02.400,18.520737,73.870662,48.0,80.7,487.5,27.3,68.2,3.26
2026-08-02 10:00:02.450,18.520693,73.870579,49.0,83.6,492.2,27.27,68.5,3.16
2026-08-02 10:00:02.500,18.520662,73.870766,47.7,77.0,483.9,27.21,67.6,3.12
2026-08-02 10:00:02.550,18.520606,73.870965,49.6,83.0,488.1,27.26,68.7,3.27
2026-08-02 10:00:02.600,18.520467,73.870754,47.6,77.4,484.7,27.23,68.5,3.24
2026-08-02 10:00:02.650,18.520807,73.870962,48.9,80.9,493.3,27.22,68.6,3.36
2026-08-02 10:00:02.700,18.520352,73.870963,47.9,82.7,485.3,27.29,68.5,3.12
2026-08-02 10:00:02.750,18.520812,73.870934,50.4,82.4,482.9,27.14,68.6,3.17
2026-08-02 10:00:02.800,18.520867,73.870747,47.7,81.1,489.6,27.15,68.1,3.15
2026-08-02 10:00:02.850,18.52064,73.871035,46.6,75.2,477.8,27.37,68.3,3.13
2026-08-02 10:00:02.900,18.520838,73.870874,49.3,81.1,478.6,27.15,68.6,3.32
2026-08-02 10:00:02.950,18.520862,73.870835,48.3,79.8,477.4,27.11,67.8,3.18
2026-08-02 10:00:03.000,18.520869,73.870978,48.7,78.3,490.3,27.19,69.1,3.13
2026-08-02 10:00:03.050,18.520736,73.870865,48.9,82.4,488.7,27.25,67.6,3.25
2026-08-02 10:00:03.100,18.520838,73.871003,46.6,77.9,469.5,27.14,69.0,3.2
2026-08-02 10:00:03.150,18.520826,73.870994,49.9,84.4,481.7,27.36,68.9,3.41
2026-08-02 10:00:03.200,18.520712,73.871043,47.2,79.7,483.3,27.16,68.2,2.9
2026-08-02 10:00:03.250,18.520752,73.870745,49.1,81.6,488.0,27.2,68.6,3.15
2026-08-02 10:00:03.300,18.520899,73.870832,51.2,84.6,482.1,27.33,68.0,3.39
2026-08-02 10:00:03.350,18.520763,73.870956,48.1,81.2,476.0,27.21,67.8,2.94
2026-08-02 10:00:03.400,18.520888,73.870913,47.2,80.0,494.6,27.3,67.9,3.28
2026-08-02 10:00:03.450,18.520852,73.871133,48.2,80.0,490.5,27.38,68.8,3.28
2026-08-02 10:00:03.500,18.520819,73.871077,47.0,79.0,484.9,27.23,68.4,3.2
2026-08-02 10:00:03.550,18.520867,73.870996,51.0,81.8,489.2,27.18,68.2,3.34
2026-08-02 10:00:03.600,18.5209,73.870859,49.2,83.3,483.1,27.36,68.3,3.35
2026-08-02 10:00:03.650,18.520875,73.871099,49.9,83.0,491.4,27.26,68.0,3.08
2026-08-02 10:00:03.700,18.520894,73.871006,49.4,81.9,481.5,27.2,68.2,3.25
2026-08-02 10:00:03.750,18.520962,73.871033,45.3,77.1,485.8,27.3,68.4,3.08
2026-08-02 10:00:03.800,18.520865,73.870733,46.8,76.8,488.0,27.29,68.3,3.05
2026-08-02 10:00:03.850,18.520917,73.871068,51.6,85.9,488.6,27.15,68.4,3.25
2026-08-02 10:00:03.900,18.520875,73.870885,47.5,80.3,487.0,27.32,68.3,3.02
2026-08-02 10:00:03.950,18.520954,73.870937,48.5,79.6,479.7,27.28,67.5,3.34
2026-08-02 10:00:04.000,18.520897,73.870819,48.4,79.3,492.4,27.28,68.2,3.23
2026-08-02 10:00:04.050,18.521004,73.871063,49.2,82.9,497.6,27.27,67.7,3.07
2026-08-02 10:00:04.100,18.521057,73.870892,47.7,77.7,488.7,27.21,68.6,3.3
2026-08-02 10:00:04.150,18.520763,73.87094,44.3,71.5,490.2,27.07,68.1,3.21
2026-08-02 10:00:04.200,18.521105,73.870848,48.6,79.3,487.0,27.31,69.0,3.22
2026-08-02 10:00:04.250,18.521085,73.870928,48.5,77.7,489.0,27.28,68.6,3.27
2026-08-02 10:00:04.300,18.520856,73.870988,48.1,81.7,485.1,27.28,69.0,3.3
2026-08-02 10:00:04.350,18.521243,73.870912,49.6,85.3,487.1,27.19,68.2,3.41
2026-08-02 10:00:04.400,18.52099,73.870877,48.7,79.1,485.5,27.27,68.0,3.14
2026-08-02 10:00:04.450,18.521032,73.871005,48.7,83.4,486.9,27.29,68.3,3.37
2026-08-02 10:00:04.500,18.521179,73.870974,45.6,72.1,488.0,27.21,68.1,3.27
2026-08-02 10:00:04.550,18.520906,73.870868,48.0,79.9,488.3,27.09,67.4,3.08
2026-08-02 10:00:04.600,18.520855,73.87076,51.0,85.1,485.3,27.3,67.8,3.14
2026-08-02 10:00:04.650,18.520955,73.870881,50.2,84.7,487.2,27.23,68.4,3.19
2026-08-02 10:00:04.700,18.521021,73.871017,49.0,80.3,488.1,27.25,68.5,3.29
2026-08-02 10:00:04.750,18.521054,73.870905,45.5,78.5,485.1,27.33,68.1,3.16
2026-08-02 10:00:04.800,18.521098,73.870735,50.3,78.3,482.6,27.32,68.7,3.16
2026-08-02 10:00:04.850,18.521223,73.87082,48.4,80.1,489.3,27.25,68.5,3.04
2026-08-02 10:00:04.900,18.520932,73.870976,47.8,80.6,488.9,27.38,68.6,3.09
2026-08-02 10:00:04.950,18.520886,73.871093,48.1,78.8,487.3,27.39,68.2,3.2
2026-08-02 10:00:05.000,18.521076,73.870885,48.1,79.6,483.9,27.37,68.4,3.23
2026-08-02 10:00:05.050,18.521042,73.870834,46.7,79.5,495.5,27.22,68.6,3.35
2026-08-02 10:00:05.100,18.521042,73.870858,49.4,80.9,493.0,27.36,68.0,3.06
2026-08-02 10:00:05.150,18.520893,73.870823,48.0,80.2,494.6,27.43,68.4,3.02
2026-08-02 10:00:05.200,18.521144,73.87098,50.4,83.0,489.1,27.29,68.7,3.44
2026-08-02 10:00:05.250,18.521149,73.870983,48.8,81.4,475.6,27.36,68.7,3.25
2026-08-02 10:00:05.300,18.521042,73.870972,50.1,87.9,487.2,27.17,68.4,3.4
2026-08-02 10:00:05.350,18.521409,73.870978,47.0,77.2,488.1,27.27,68.4,3.18
2026-08-02 10:00:05.400,18.520947,73.870959,49.6,83.6,489.8,27.22,68.6,3.11
2026-08-02 10:00:05.450,18.521218,73.871038,48.8,79.2,490.0,27.31,68.9,3.33
2026-08-02 10:00:05.500,18.521032,73.871178,46.8,79.4,491.1,27.22,67.8,3.27
2026-08-02 10:00:05.550,18.521005,73.87124,48.6,79.6,485.2,27.35,68.8,3.42
2026-08-02 10:00:05.600,18.520974,73.871079,48.5,79.4,490.5,27.24,68.4,3.2
2026-08-02 10:00:05.650,18.521244,73.870923,48.2,84.8,489.8,27.24,67.9,3.19
2026-08-02 10:00:05.700,18.521054,73.871085,45.3,71.8,483.4,27.23,67.8,3.37
2026-08-02 10:00:05.750,18.521075,73.871009,48.9,80.8,490.0,27.28,67.8,3.17
2026-08-02 10:00:05.800,18.521091,73.871044,50.7,84.7,493.4,27.2,68.1,3.14
2026-08-02 10:00:05.850,18.521198,73.871004,48.1,81.7,491.8,27.2,67.9,3.15
2026-08-02 10:00:05.900,18.521294,73.871068,48.9,80.6,487.4,27.27,68.2,3.14
2026-08-02 10:00:05.950,18.521202,73.87132,48.5,83.0,486.9,27.22,68.3,3.3
2026-08-02 10:00:06.000,18.52132,73.871172,49.5,81.4,485.3,27.26,68.2,3.24
2026-08-02 10:00:06.050,18.521338,73.870813,48.4,76.9,486.1,27.42,67.6,3.26
2026-08-02 10:00:06.100,18.521131,73.870983,46.3,77.3,486.3,27.27,67.8,3.34
2026-08-02 10:00:06.150,18.521229,73.871199,47.5,79.1,500.1,27.27,69.3,3.15
2026-08-02 10:00:06.200,18.521304,73.871095,50.6,87.9,492.1,27.3,68.5,3.31
2026-08-02 10:00:06.250,18.521293,73.870949,50.8,82.4,496.4,27.35,69.2,3.46
2026-08-02 10:00:06.300,18.521225,73.870952,47.8,78.3,496.5,27.18,68.5,3.32
2026-08-02 10:00:06.350,18.521406,73.871077,49.0,78.0,496.9,27.28,68.8,3.36
2026-08-02 10:00:06.400,18.521197,73.871056,49.1,77.8,489.7,27.29,68.5,3.11
2026-08-02 10:00:06.450,18.521206,73.870777,49.8,86.7,488.7,27.34,68.7,3.46
2026-08-02 10:00:06.500,18.521282,73.870947,50.0,81.5,486.6,27.24,68.9,3.36
2026-08-02 10:00:06.550,18.521225,73.871071,50.6,83.6,483.5,27.4,68.6,3.45
2026-08-02 10:00:06.600,18.521132,73.871112,49.5,78.6,489.0,27.3,68.4,3.27
2026-08-02 10:00:06.650,18.521389,73.87112,48.3,77.3,490.8,27.28,68.8,3.34
2026-08-02 10:00:06.700,18.521269,73.870976,49.8,79.4,489.7,27.24,68.7,3.36
2026-08-02 10:00:06.750,18.521389,73.871217,47.9,78.6,483.1,27.38,68.9,3.33
2026-08-02 10:00:06.800,18.521422,73.871059,47.7,80.9,495.5,27.28,68.4,3.28
2026-08-02 10:00:06.850,18.521141,73.871244,48.7,82.8,485.3,27.26,68.2,3.38
2026-08-02 10:00:06.900,18.52136,73.870905,48.3,85.2,491.0,27.24,68.1,3.29
2026-08-02 10:00:06.950,18.521242,73.870935,48.6,83.5,485.8,27.16,69.2,3.19
2026-08-02 10:00:07.000,18.521338,73.871128,45.9,76.9,484.9,27.26,68.3,3.23
2026-08-02 10:00:07.050,18.521388,73.871133,48.0,84.8,487.6,27.3,68.2,3.34
2026-08-02 10:00:07.100,18.521234,73.87101,46.4,75.2,480.9,27.16,68.9,3.08
2026-08-02 10:00:07.150,18.52121,73.871054,48.3,83.3,500.8,27.22,68.5,3.26
2026-08-02 10:00:07.200,18.521333,73.871064,47.8,79.2,491.2,27.37,68.8,3.38
2026-08-02 10:00:07.250,18.521302,73.871137,47.3,81.2,485.3,27.26,68.8,3.26
2026-08-02 10:00:07.300,18.521284,73.871125,51.8,87.5,494.5,27.21,68.3,3.42
2026-08-02 10:00:07.350,18.521392,73.871056,48.3,78.1,486.1,27.41,68.9,3.24
2026-08-02 10:00:07.400,18.52134,73.871127,51.1,78.7,485.9,27.23,68.5,3.17
2026-08-02 10:00:07.450,18.521422,73.871201,48.7,80.7,486.1,27.25,68.2,3.37
2026-08-02 10:00:07.500,18.521447,73.871036,50.3,80.1,484.5,27.4,67.9,3.29
2026-08-02 10:00:07.550,18.521295,73.871138,47.7,79.5,484.4,27.11,69.1,3.28
2026-08-02 10:00:07.600,18.521321,73.870749,52.1,87.7,497.4,27.46,68.7,3.31
