timestamp,latitude,longitude,pm2_5,pm10,co2,temperature,humidity,wind_speed,wind_direction
2026-08-07 00:00:00,19.05156,73.077361,33.2,56.58,494.82,23.95,91.44,2.73,214.6
2026-08-07 00:05:00,19.045912,73.061707,30.69,55.43,503.19,23.91,92.37,2.26,232.5
2026-08-07 00:10:00,19.053432,73.073216,35.07,54.61,512.27,24.57,91.09,2.52,224.9
2026-08-07 00:15:00,19.05423,73.067493,46.43,83.57,507.06,24.21,90.95,2.9,213.9
2026-08-07 00:20:00,19.042086,73.068776,30.58,52.57,501.61,24.0,91.91,2.65,212.7
2026-08-07 00:25:00,19.044811,73.064016,33.3,63.32,501.41,24.24,88.33,2.61,204.0
2026-08-07 00:30:00,19.050817,73.067465,35.71,56.83,501.07,23.31,92.69,3.1,228.1
2026-08-07 00:35:00,19.048952,73.07531,33.13,50.03,499.45,24.02,91.87,2.5,221.1
2026-08-07 00:40:00,19.050209,73.071867,28.3,55.52,531.12,24.73,91.97,2.58,197.6
2026-08-07 00:45:00,19.046697,73.077385,33.39,50.91,511.34,24.07,93.66,2.84,220.4
2026-08-07 00:50:00,19.053973,73.074722,29.82,52.27,517.3,24.04,88.44,2.9,216.8
2026-08-07 00:55:00,19.053547,73.071178,34.14,58.82,503.62,24.2,88.42,2.93,247.2
2026-08-07 01:00:00,19.050557,73.077441,28.98,57.58,506.74,24.32,92.48,3.05,208.6
2026-08-07 01:05:00,19.055014,73.071177,35.12,55.44,501.56,23.3,91.98,2.88,212.5
2026-08-07 01:10:00,19.052244,73.073044,30.57,59.54,482.28,23.41,92.31,2.97,243.8
2026-08-07 01:15:00,19.046671,73.067646,29.45,60.17,495.12,24.07,91.17,2.79,247.5
2026-08-07 01:20:00,19.051829,73.069389,36.18,64.29,490.91,23.75,93.19,2.88,223.0
2026-08-07 01:25:00,19.046253,73.065722,33.06,57.81,486.65,24.46,93.66,2.9,225.1
2026-08-07 01:30:00,19.053969,73.07382,31.21,61.31,497.33,23.9,92.84,2.94,240.8
2026-08-07 01:35:00,19.05007,73.063414,36.39,48.94,522.68,23.34,91.48,3.08,206.2
2026-08-07 01:40:00,19.049504,73.072825,31.68,54.69,509.14,23.58,88.13,3.04,212.5
2026-08-07 01:45:00,19.04742,73.068155,32.84,52.59,522.65,23.07,93.28,2.92,232.1
2026-08-07 01:50:00,19.055415,73.074692,33.47,56.65,514.03,23.96,94.06,2.71,254.8
2026-08-07 01:55:00,19.049631,73.072674,31.5,53.99,517.93,23.99,92.98,2.94,231.6
2026-08-07 02:00:00,19.048481,73.077809,34.08,55.71,501.29,23.92,90.2,2.92,238.7
2026-08-07 02:05:00,19.048801,73.072578,31.86,64.03,515.74,24.46,92.95,2.99,251.8
2026-08-07 02:10:00,19.052516,73.061524,33.31,57.45,518.01,24.52,93.23,3.5,264.1
2026-08-07 02:15:00,19.051815,73.068749,39.37,62.56,505.18,24.05,94.43,2.82,232.5
2026-08-07 02:20:00,19.052013,73.063444,34.06,60.28,516.78,23.38,89.99,3.06,239.9
2026-08-07 02:25:00,19.052089,73.066582,34.71,66.84,517.1,24.37,91.09,3.23,262.6
2026-08-07 02:30:00,19.059275,73.076324,37.29,57.22,506.21,24.37,92.77,2.99,223.0
2026-08-07 02:35:00,19.048573,73.07213,39.56,59.15,500.75,24.3,91.45,3.56,254.2
2026-08-07 02:40:00,19.048129,73.065715,32.93,62.25,500.43,24.56,89.26,2.88,230.3
2026-08-07 02:45:00,19.046862,73.064204,29.49,64.28,513.44,23.84,91.93,3.06,244.3
2026-08-07 02:50:00,19.052867,73.069227,37.99,65.61,516.17,24.97,92.14,2.78,240.7
2026-08-07 02:55:00,19.055022,73.063231,41.95,72.19,505.31,23.96,91.17,2.9,232.7
2026-08-07 03:00:00,19.049801,73.065849,34.54,54.55,513.85,24.59,91.31,3.05,233.0
2026-08-07 03:05:00,19.046751,73.070568,31.92,58.1,519.65,23.77,90.34,3.2,248.6
2026-08-07 03:10:00,19.046817,73.074615,35.96,62.43,520.51,24.06,93.36,3.07,257.8
2026-08-07 03:15:00,19.053012,73.071992,36.45,63.0,530.24,24.95,88.97,3.31,244.8
2026-08-07 03:20:00,19.053402,73.058072,31.53,59.99,527.91,24.36,89.42,2.97,247.7
2026-08-07 03:25:00,19.052561,73.070531,38.24,65.03,505.55,24.79,90.38,2.92,254.2
2026-08-07 03:30:00,19.047485,73.069416,40.0,61.56,532.85,24.61,91.82,3.68,236.1
2026-08-07 03:35:00,19.051255,73.071057,36.19,65.12,511.17,24.53,87.42,3.1,257.1
2026-08-07 03:40:00,19.05077,73.076828,34.86,61.26,527.41,25.08,87.63,2.82,258.5
2026-08-07 03:45:00,19.051198,73.059166,35.52,58.98,518.14,24.56,86.19,2.83,280.3
2026-08-07 03:50:00,19.05394,73.066233,54.84,86.36,513.86,24.06,89.78,2.76,245.0
2026-08-07 03:55:00,19.051219,73.071906,32.37,49.41,500.44,24.45,87.56,3.23,244.4
2026-08-07 04:00:00,19.053131,73.061478,38.25,64.8,517.35,24.96,88.74,2.9,259.5
2026-08-07 04:05:00,19.050564,73.076155,35.73,46.94,504.05,24.95,90.47,3.03,260.5
2026-08-07 04:10:00,19.051494,73.070838,41.62,55.68,529.91,24.31,87.98,2.98,244.6
2026-08-07 04:15:00,19.052931,73.073134,36.78,64.13,536.01,24.65,89.39,3.17,246.6
2026-08-07 04:20:00,19.04416,73.066329,41.13,64.41,513.5,24.75,88.28,2.77,258.2
2026-08-07 04:25:00,19.048937,73.072976,34.99,58.19,525.13,24.87,89.87,2.71,242.1
2026-08-07 04:30:00,19.048304,73.074199,39.12,60.33,515.52,24.57,89.35,3.03,247.4
2026-08-07 04:35:00,19.047597,73.070188,38.75,69.02,517.17,24.88,87.08,3.12,253.7
2026-08-07 04:40:00,19.049124,73.070195,36.31,62.03,531.9,24.9,87.85,3.05,264.8
2026-08-07 04:45:00,19.056559,73.070368,41.61,77.0,524.48,25.48,89.86,2.76,245.9
2026-08-07 04:50:00,19.046644,73.064926,41.56,64.64,542.99,25.54,88.52,3.13,231.3
2026-08-07 04:55:00,19.054347,73.068362,50.37,83.57,521.51,25.26,85.11,2.77,230.6
